region_code,region_name,year,value,kcci,ind,level
00,전국,2023,19.0,D1,고령인구비율,district
00,전국,2024,20.0,D1,고령인구비율,district
00,전국,2025,21.2,D1,고령인구비율,district
11,서울특별시,2023,18.5,D1,고령인구비율,district
11,서울특별시,2024,19.4,D1,고령인구비율,district
11,서울특별시,2025,20.4,D1,고령인구비율,district
11010,종로구,2023,20.4,D1,고령인구비율,district
11010,종로구,2024,21.4,D1,고령인구비율,district
11010,종로구,2025,22.4,D1,고령인구비율,district
11020,중구,2023,21.0,D1,고령인구비율,district
11020,중구,2024,21.9,D1,고령인구비율,district
11020,중구,2025,23.1,D1,고령인구비율,district
11030,용산구,2023,18.4,D1,고령인구비율,district
11030,용산구,2024,19.1,D1,고령인구비율,district
11030,용산구,2025,19.8,D1,고령인구비율,district
11040,성동구,2023,17.8,D1,고령인구비율,district
11040,성동구,2024,18.6,D1,고령인구비율,district
11040,성동구,2025,19.4,D1,고령인구비율,district
11050,광진구,2023,16.8,D1,고령인구비율,district
11050,광진구,2024,17.9,D1,고령인구비율,district
11050,광진구,2025,18.8,D1,고령인구비율,district
11060,동대문구,2023,19.6,D1,고령인구비율,district
11060,동대문구,2024,20.5,D1,고령인구비율,district
11060,동대문구,2025,20.9,D1,고령인구비율,district
11070,중랑구,2023,20.6,D1,고령인구비율,district
11070,중랑구,2024,22.0,D1,고령인구비율,district
11070,중랑구,2025,23.3,D1,고령인구비율,district
11080,성북구,2023,18.9,D1,고령인구비율,district
11080,성북구,2024,19.8,D1,고령인구비율,district
11080,성북구,2025,20.7,D1,고령인구비율,district
11090,강북구,2023,23.8,D1,고령인구비율,district
11090,강북구,2024,25.1,D1,고령인구비율,district
11090,강북구,2025,26.6,D1,고령인구비율,district
11100,도봉구,2023,22.9,D1,고령인구비율,district
11100,도봉구,2024,24.5,D1,고령인구비율,district
11100,도봉구,2025,26.1,D1,고령인구비율,district
11110,노원구,2023,19.3,D1,고령인구비율,district
11110,노원구,2024,20.5,D1,고령인구비율,district
11110,노원구,2025,21.6,D1,고령인구비율,district
11120,은평구,2023,20.0,D1,고령인구비율,district
11120,은평구,2024,21.2,D1,고령인구비율,district
11120,은평구,2025,22.5,D1,고령인구비율,district
11130,서대문구,2023,18.8,D1,고령인구비율,district
11130,서대문구,2024,19.7,D1,고령인구비율,district
11130,서대문구,2025,20.6,D1,고령인구비율,district
11140,마포구,2023,15.8,D1,고령인구비율,district
11140,마포구,2024,16.5,D1,고령인구비율,district
11140,마포구,2025,17.3,D1,고령인구비율,district
11150,양천구,2023,17.5,D1,고령인구비율,district
11150,양천구,2024,18.6,D1,고령인구비율,district
11150,양천구,2025,19.8,D1,고령인구비율,district
11160,강서구,2023,18.1,D1,고령인구비율,district
11160,강서구,2024,19.3,D1,고령인구비율,district
11160,강서구,2025,20.6,D1,고령인구비율,district
11170,구로구,2023,20.0,D1,고령인구비율,district
11170,구로구,2024,21.1,D1,고령인구비율,district
11170,구로구,2025,22.4,D1,고령인구비율,district
11180,금천구,2023,19.6,D1,고령인구비율,district
11180,금천구,2024,20.9,D1,고령인구비율,district
11180,금천구,2025,22.2,D1,고령인구비율,district
11190,영등포구,2023,17.6,D1,고령인구비율,district
11190,영등포구,2024,18.3,D1,고령인구비율,district
11190,영등포구,2025,19.2,D1,고령인구비율,district
11200,동작구,2023,18.5,D1,고령인구비율,district
11200,동작구,2024,19.4,D1,고령인구비율,district
11200,동작구,2025,20.3,D1,고령인구비율,district
11210,관악구,2023,17.6,D1,고령인구비율,district
11210,관악구,2024,18.4,D1,고령인구비율,district
11210,관악구,2025,19.3,D1,고령인구비율,district
11220,서초구,2023,16.1,D1,고령인구비율,district
11220,서초구,2024,16.8,D1,고령인구비율,district
11220,서초구,2025,17.4,D1,고령인구비율,district
11230,강남구,2023,15.9,D1,고령인구비율,district
11230,강남구,2024,16.4,D1,고령인구비율,district
11230,강남구,2025,17.1,D1,고령인구비율,district
11240,송파구,2023,16.6,D1,고령인구비율,district
11240,송파구,2024,17.5,D1,고령인구비율,district
11240,송파구,2025,18.5,D1,고령인구비율,district
11250,강동구,2023,18.0,D1,고령인구비율,district
11250,강동구,2024,18.8,D1,고령인구비율,district
11250,강동구,2025,19.6,D1,고령인구비율,district
21,부산광역시,2023,22.6,D1,고령인구비율,district
21,부산광역시,2024,23.9,D1,고령인구비율,district
21,부산광역시,2025,25.3,D1,고령인구비율,district
21010,중구,2023,30.7,D1,고령인구비율,district
21010,중구,2024,32.4,D1,고령인구비율,district
21010,중구,2025,34.2,D1,고령인구비율,district
21020,서구,2023,28.1,D1,고령인구비율,district
21020,서구,2024,29.5,D1,고령인구비율,district
21020,서구,2025,31.1,D1,고령인구비율,district
21030,동구,2023,28.6,D1,고령인구비율,district
21030,동구,2024,29.9,D1,고령인구비율,district
21030,동구,2025,31.1,D1,고령인구비율,district
21040,영도구,2023,31.6,D1,고령인구비율,district
21040,영도구,2024,33.4,D1,고령인구비율,district
21040,영도구,2025,35.1,D1,고령인구비율,district
21050,부산진구,2023,22.1,D1,고령인구비율,district
21050,부산진구,2024,23.1,D1,고령인구비율,district
21050,부산진구,2025,23.9,D1,고령인구비율,district
