region_code,region_name,sido,type,issuer,rank,quadrant,N,R,A,E,resource,NEAR_A,R_KCCI,R3_integratedCare,E3,E3b,IC_total,IC_per10k,IC_special
31150,시흥시,경기,시,True,1,II,22.92414265957372,38.61940585912341,67.76668453497722,55.09479418722304,53.82696152710789,92.36489019732105,34.20694627314218,45.23809523809524,45.872199821745625,65.0,89,1.75,0
31110,과천시,경기,시,True,2,II,4.254859429173239,19.512924472485107,63.3576789064594,45.20899975531788,42.693201044754126,90.56577133016752,22.997731263665653,14.285714285714285,55.07316843358505,65.0,37,4.62,24
31140,오산시,경기,시,True,3,II,14.652532827744832,20.74153659966395,67.15692843741624,51.900020590421725,46.59949520916731,89.2732287952949,25.04541814229706,14.285714285714285,50.66776733510843,65.0,37,1.61,17
31190,용인시,경기,시,True,4,II,17.121346750320534,27.12698173740773,69.03310104529616,46.74314892718189,47.634410569961936,89.07373719480167,26.56084257821923,27.97619047619048,51.70512335441833,65.0,60,0.55,16
31260,양주시,경기,시,True,5,II,22.287205785811288,31.609448585590336,68.3295363173412,48.75288754795165,49.563957483627725,88.42035459072208,38.39670002360295,21.428571428571427,51.86604794252664,65.0,49,1.74,3
31010,수원시,경기,시,True,6,II,18.843404131588493,31.31962005463192,62.88863575448941,49.11618196220166,47.774812590441,88.35311052464675,26.00889056724367,39.285714285714285,51.70512335441833,65.0,79,0.66,20
31170,의왕시,경기,시,True,7,II,12.256056813035524,21.981546843265523,62.88863575448941,45.70217048682562,43.52411769486019,87.39608928834242,26.71527648480762,14.88095238095238,54.58072997004224,65.0,38,2.39,4
31270,포천시,경기,시,True,8,II,29.80866512692857,39.78925312424491,60.35580273385152,56.619366789765245,52.25480754928722,87.35047498582293,42.10907266739231,36.30952380952381,49.77992530600358,65.0,74,5.14,5
31220,안성시,경기,시,True,9,II,25.214715390582285,31.842590913678777,62.654114178504415,55.066335592235646,49.85434689480628,87.24698919951513,36.80114358629002,24.404761904761905,53.2586263955065,65.0,54,2.81,0
31230,김포시,경기,시,True,10,II,22.65873154706708,24.48155208873459,69.54904851246314,49.917563092542046,47.98272123124659,86.65335545771305,28.897824909795744,17.857142857142858,45.5127675070296,65.0,43,0.88,12
