region_code,region_name,sido,type,issuer,rank,quadrant,N,R,A,E,resource,NEAR_A,R_KCCI,R3_integratedCare,E3,E3b,IC_total,IC_per10k,IC_special
31150,시흥시,경기,시,True,1,II,26.052150226157185,37.39909054147408,86.19929453262787,55.60761470004354,59.73533325804849,96.70925814496992,32.1730874103933,45.23809523809524,48.94912289866869,84.5,89,1.75,0
31260,양주시,경기,시,True,2,II,27.50755560575324,30.264689219373857,87.1252204585538,47.63048793498601,55.00679920430455,91.25302140142792,36.15543441324215,21.428571428571427,45.13165026473273,65.0,49,1.74,3
31240,화성시,경기,시,True,3,II,28.34409494064633,28.13865278100049,88.89991181657848,48.924101844356905,55.32088881397863,91.14884134365546,33.00886574611194,20.833333333333336,38.91336610812493,65.0,48,0.5,18
31230,김포시,경기,시,True,4,II,26.71354790271764,23.060961748941867,89.13139329805996,50.43038360536256,54.207579550788125,90.85080559942932,26.530174343474545,17.857142857142858,48.589690583952674,84.5,43,0.88,12
31140,오산시,경기,시,True,5,II,23.14420899436491,20.4095254746582,85.19620811287479,50.77762097745608,52.12778485499636,90.5556803578139,24.49206626728748,14.285714285714285,43.93336965731453,65.0,37,1.61,17
31200,파주시,경기,시,True,6,II,29.70160122245464,34.33473477100617,84.96472663139329,46.43084986628244,55.24343708956064,90.39263647833332,32.22455795167695,37.5,41.48670072865653,65.0,76,1.51,20
31250,광주시,경기,시,True,7,II,26.061249611906995,21.54021040304084,89.28571428571428,47.37158017691678,52.73250162189064,89.70187681593714,25.582890354274426,15.476190476190476,40.247992902755485,65.0,39,0.95,1
31110,과천시,경기,시,True,8,II,15.20526706911468,18.86611039625768,78.94620811287479,44.08660014235223,47.2996395504949,89.69700601593756,21.919707803286613,14.285714285714285,48.338770755791145,65.0,37,4.62,24
31180,하남시,경기,시,True,9,II,24.040816489602747,20.33137270803215,87.35670194003526,43.50062216168325,50.39623226991689,88.37582402511552,23.171335465767868,16.071428571428573,40.49340524981276,65.0,40,1.2,11
31270,포천시,경기,시,True,10,II,34.34681466915075,36.99644835907203,74.0079365079365,55.49696717679959,55.50045068126938,88.327043346694,37.454398058770856,36.30952380952381,43.04552762820968,65.0,74,5.14,5
11240,송파구,서울,구,True,11,II,31.56138882076342,38.78492830749427,78.13051146384481,44.51144681774176,53.80896219636029,88.02826778597857,26.943134480744416,56.54761904761904,10.28899916060623,5.0,108,1.66,56
31220,안성시,경기,시,True,12,II,30.937379343696623,28.35115197664876,77.78880070546737,53.94393597926999,53.36129622046204,87.89260654861373,30.98207869124,24.404761904761905,46.52422871771259,65.0,54,2.81,0
11220,서초구,서울,구,True,13,II,26.46757838359468,26.52601556003131,80.75396825396825,45.65242197502757,50.97746859634238,87.74367940454505,26.35288307624266,26.785714285714285,16.358997614462186,5.0,58,1.42,29
31170,의왕시,경기,시,True,14,II,20.88384512012883,19.839741383969816,78.17460317460316,44.57977087385998,47.53137181081099,87.08944925074658,23.14560071931477,14.88095238095238,47.846332292248334,65.0,38,2.39,4
31130,남양주시,경기,시,True,15,II,34.22427574299009,32.820277089013814,84.50176366843033,44.30017839036318,53.87407304926911,86.76193517777406,36.04966816422937,27.97619047619048,41.912827389988784,65.0,60,0.81,26
11070,중랑구,서울,구,True,16,II,37.69976755447389,40.55143523615526,80.59964726631394,45.46355976059072,55.53821408768664,86.6883303104497,28.3000111078778,58.92857142857143,11.231993219553232,5.0,112,2.95,58
11040,성동구,서울,구,True,17,II,30.701136407791605,28.68043429894741,80.44532627865962,46.5695189070477,51.89842649488492,86.54785829098911,26.76897779983299,31.547619047619047,9.756971977289457,5.0,66,2.35,18
11250,강동구,서울,구,True,18,II,31.72643733326933,27.79597943875044,84.22619047619048,44.782039880074045,52.26806993167165,86.404851265037,29.65996573125073,25.0,11.66702596780268,5.0,55,1.2,18
31120,구리시,경기,시,True,19,II,24.390577323805527,25.669730370552983,76.168430335097,43.78607870316949,48.54141313627316,86.34612447437038,22.544788712826403,30.35714285714285,42.405069388199415,65.0,64,3.4,8
31210,이천시,경기,시,True,20,II,26.676001604879342,23.5671893808717,74.85670194003526,49.11686669239842,49.18025267110179,85.84225186866212,27.770712460182992,17.261904761904763,45.808099235655874,65.0,42,1.88,11
11230,강남구,서울,구,True,21,II,30.007494011835405,33.58897937569803,72.72927689594357,44.92897646241428,50.4157442446853,85.4119972387676,29.791156102353867,39.285714285714285,12.753048513839214,5.0,79,1.5,44
11200,동작구,서울,구,True,22,II,33.89031087405134,31.74718086658423,76.97310405643739,48.111877837957564,52.277387586993065,85.3322321499674,27.51514271414832,38.095238095238095,16.13739131727936,5.0,77,2.03,42
23080,서구,인천,구,False,23,II,29.640725755235994,43.030804848840376,74.27469135802468,33.09001654578041,50.13183758421516,85.31147470659715,35.210071573464106,54.761904761904766,20.73657859486016,25.0,105,1.68,7
31070,평택시,경기,시,True,24,II,30.98437788308837,23.403866921688,79.79497354497354,49.20110239097974,50.799980952547095,85.3077920110029,30.673111536146664,12.5,41.89199409389114,65.0,34,0.58,4
31030,의정부시,경기,시,True,25,II,33.9036608029194,32.46388338877983,78.86904761904762,45.14923201651976,52.160721008115736,85.20889060665604,31.09059929876003,34.523809523809526,45.28642579649624,65.0,71,1.54,36
31380,양평군,경기,군,True,26,II,36.4186900085766,25.56385200242476,79.48633156966491,55.13190133457476,53.39402830222148,85.18468329793318,33.479435877057135,13.690476190476192,53.223665515555645,65.0,36,2.77,1
25040,유성구,대전,구,False,27,II,27.19112171140986,28.20390034536771,78.61552028218695,39.42854263663414,48.749321088062935,85.153760232358,33.51443708354936,20.23809523809524,31.61039766829842,35.0,47,1.29,9
11050,광진구,서울,구,True,28,II,32.9121143588616,26.582911458411857,78.28483245149911,49.26293010826987,51.376891339393616,84.92083415996282,25.257233383067383,28.57142857142857,11.195393937759242,5.0,61,1.8,18
11080,성북구,서울,구,True,29,II,34.90569416808373,26.76778009501352,82.76014109347443,47.23775715460463,52.2552261143642,84.80237903032233,25.962173174228887,27.97619047619048,14.70927504500115,5.0,60,1.43,31
